Time,Position_x,Position_y,Position_z,Velocity_x,Velocity_y,Velocity_z
1733850794.017092,1.3721385182973593e-06,1.3489179638670095e-06,0.2999943609901987,0.0,0.0,0.0
1733850794.02538,8.155949963673442e-07,9.044284544842683e-05,0.2991809208367506,-0.0004398513085918102,0.013798294835375398,-0.13238614522144215
1733850794.0332935,7.5720331368486444e-06,0.0003182871508570002,0.29691839821129057,0.0017871983594553518,0.02791225993297487,-0.2751596738585267
1733850794.0427146,-3.6469275192192326e-06,0.0005600994315429438,0.29337178181116197,-0.0029192316240270063,0.022674600920179932,-0.4013935933146533
1733850794.0508006,-0.00033867424046718367,0.0006899463848651921,0.28984907788019104,-0.04920100188269148,0.007885120651766525,-0.3223843773949632
1733850794.0592086,-0.0011072122495338428,0.0006727723352259544,0.287051891657584,-0.09158432915138581,-0.006947316728527983,-0.259450640624226
1733850794.0677936,-0.0022702147473241045,0.0005003642154307814,0.2848507367033554,-0.13031603160050279,-0.023690044269392554,-0.19713330359824854
1733850794.0765886,-0.003694841317337109,0.00020782246845038547,0.2831445445641024,-0.14999391278186514,-0.03294289637305193,-0.15434278241943727
1733850794.084534,-0.005359750501403169,-0.00019732650953613963,0.28190841500775765,-0.175714744596875,-0.0445119548843977,-0.10956611111082604
1733850794.0949113,-0.007373885918251819,-0.0007479079955729333,0.28120059830589705,-0.2155141656855057,-0.0600024824376823,-0.05121378560200024
1733850794.1028924,-0.00976909105816962,-0.0014023681659937211,0.2809674693294739,-0.25249871185567535,-0.06860491852376122,-0.009951038422512508
1733850794.1111012,-0.012611100132917535,-0.002225836117922894,0.28117832205641763,-0.3006820551692268,-0.08932294819864028,0.0357354750419105
1733850794.1201024,-0.015915189190238377,-0.0032464305568918293,0.28188561931989997,-0.34658509233235224,-0.10950946087709199,0.08808785213956107
1733850794.1286407,-0.019475309083311926,-0.004271635571391809,0.2827946558705634,-0.3625300971132524,-0.10039630618714666,0.09272572970093011
1733850794.1365788,-0.02308551372322926,-0.005233745275945289,0.2836680364516666,-0.36108681765839584,-0.09628363788072927,0.08534887391465062
1733850794.1458092,-0.02673856325658716,-0.0062034351984416,0.2845817745768567,-0.3669695127294862,-0.09421235597707028,0.10484613114862891
1733850794.1537435,-0.0301767601537858,-0.007130022933242157,0.285715655502885,-0.3319861747029047,-0.09008896488946289,0.11598949264452782
1733850794.162232,-0.0332397198543519,-0.007939847006505036,0.2868288502054536,-0.291933212059159,-0.07574372518626263,0.11431439802724329
1733850794.171154,-0.03603495769708674,-0.008775837993427415,0.2879431067569,-0.27244635482532237,-0.08676424680489041,0.10981467183932267
1733850794.179567,-0.03861947465810469,-0.009478392150933088,0.28888089699459757,-0.25099216630440047,-0.06397022181359853,0.0844752292254788
1733850794.187363,-0.04102858992008171,-0.010070922660052656,0.289768328012756,-0.23588342965938533,-0.05718270101872947,0.09100260922125859
1733850794.1967518,-0.04331753970220711,-0.010607090080899108,0.2907191292463069,-0.22614864484599392,-0.0519809695859792,0.10135319826152873
1733850794.2047424,-0.04557935533181178,-0.01106584349285431,0.2918049169665579,-0.22665753473722397,-0.04075475594640763,0.11244401868284505
1733850794.212887,-0.04787214447605787,-0.011356379788936402,0.2929732024338585,-0.23120037574019395,-0.02272248305768944,0.11873951004568199
1733850794.2217286,-0.050247525085401305,-0.011471653140834344,0.29422682441380765,-0.2421095439663426,-0.0059235000099684635,0.1315468230997526
1733850794.2297568,-0.0526384804044474,-0.011371803195118654,0.29567796811421443,-0.23797881184762637,0.018298888629905703,0.15108935400770188
1733850794.2376382,-0.05498679683919954,-0.011196819177757219,0.2973843474696229,-0.23282249083968345,0.017318861055663243,0.17669812791473322
1733850794.2466953,-0.05726224469578149,-0.010957471176252696,0.29931647275046774,-0.2247590083603014,0.026987544531117087,0.20687607143638778
1733850794.2546647,-0.059505475547500915,-0.010683852873851499,0.3013635930319072,-0.22402136475072532,0.029743172874208964,0.20345996594040716
1733850794.2632542,-0.06174746453882512,-0.010320310207630794,0.3032686697507233,-0.2246851588084908,0.039041536060034146,0.1856044939417836
1733850794.272243,-0.06392212383770496,-0.00995807046872091,0.30498546976180174,-0.21493583656682017,0.036161586257989986,0.16445859047648018
1733850794.2803774,-0.06577733967796678,-0.009601988445566678,0.30660948814028516,-0.17055243645530252,0.03566511183533807,0.15673816446350117
1733850794.288366,-0.06720915288774695,-0.00926335383659892,0.30801040193321977,-0.12855988918126238,0.03254738499828636,0.13107302101697818
1733850794.29737,-0.06822555946347204,-0.00897079646240223,0.30912636640751834,-0.08735954386821787,0.027348375135413817,0.10459394168458355
1733850794.3056479,-0.06891035304973057,-0.008743443412158644,0.3100359864043906,-0.0586817011063606,0.02031161461292768,0.08829559092457455
1733850794.3138924,-0.06931159466304082,-0.008582431989506263,0.3107611238011868,-0.030131836451074506,0.013885517536422481,0.06089788832172641
1733850794.3221164,-0.06945607419935475,-0.00847998907447477,0.3113448960248781,-0.006588714415897314,0.008489615667422642,0.055045052573912956
1733850794.3304274,-0.06925142262007893,-0.008459097950675643,0.31197254280609243,0.035106227833240425,-0.0005822805219413879,0.06247634618324915
1733850794.3382952,-0.06880115015058312,-0.008612227510123551,0.31269164238460817,0.05037974295692103,-0.02334713224876941,0.07454266713388852
1733850794.3476899,-0.06811286010152416,-0.00893430632027847,0.3136416126833374,0.07860653992539325,-0.037848594490878525,0.1062103845283571
1733850794.3556015,-0.06720655692153095,-0.009310762841601606,0.3148785005407787,0.09692658316149919,-0.037076708927581074,0.13425954866280726
